Location Performance Summary,,,,,
,,,,,
Last Updated:,03/05/2026 08:56:17 AM,,,,
,,,,,
Original American Kitchen,,,,,
Metric,Value,This Month,Last Month,Trend,Details
Total Assessments,8,0,7,New,Assessment count
Average Score (%),83.5,0,83.4,New,Performance average
Excellence Rate (%),37.5,0,42.9,New,Excellent ratings %
Success Rate (≥80%),62.5,0,57.1,New,Scores 80% or higher
Active Trainers,8,0,0,New,Total trainers on roster / Active this period
,,,,,
,,,,,
White Buffalo,,,,,
Metric,Value,This Month,Last Month,Trend,Details
Total Assessments,7,0,0,New,Assessment count
Average Score (%),40,0,0,New,Performance average
Excellence Rate (%),0,0,0,New,Excellent ratings %
Success Rate (≥80%),0,0,0,New,Scores 80% or higher
Active Trainers,2,0,0,New,Total trainers on roster / Active this period
,,,,,
,,,,,
Cantina Añejo,,,,,
Metric,Value,This Month,Last Month,Trend,Details
Total Assessments,27,3,12,↘️ -9,Assessment count
Average Score (%),83.2,81.3,88.8,↘️ -7.5,Performance average
Excellence Rate (%),40.7,33.3,41.7,↘️ -8.4,Excellent ratings %
Success Rate (≥80%),59.3,66.7,75,↘️ -8.3,Scores 80% or higher
Active Trainers,11,0,0,New,Total trainers on roster / Active this period
