Monthly Location Performance Analysis,,,,,,
Cantina Añejo,,,,,,
Month,Total Assessments,Average Score,Excellent Count,Good Count,Needs Improvement Count,Success Rate (%)
Jan 2026,9,68,4,2,3,56
Feb 2026,11,81,5,5,1,82
Mar 2026,1,92,1,0,0,100
,,,,,,
,,,,,,
Original American Kitchen,,,,,,
Month,Total Assessments,Average Score,Excellent Count,Good Count,Needs Improvement Count,Success Rate (%)
Jan 2026,1,84,0,1,0,100
Feb 2026,7,83,3,1,3,57
,,,,,,
,,,,,,
White Buffalo,,,,,,
Month,Total Assessments,Average Score,Excellent Count,Good Count,Needs Improvement Count,Success Rate (%)
Jan 2026,7,40,0,0,7,0
